country,year,systemic_crisis,exch_usd,domestic_debt_default,sovereign_external_debt_default,gdp_weighted_default,inflation_annual_cpi,independence,inflation_crisis,banking_crisis,currency_crisis
Algeria,1870,true,0.052264,false,false,0.0,3.4414556960000002,false,false,true,no_crisis
Algeria,1871,false,0.052798000000000005,false,false,0.0,14.14913958,false,false,false,no_crisis
Algeria,1872,false,0.052274,false,false,0.0,-3.718592965,false,false,false,no_crisis
Algeria,1873,false,0.05168,false,false,0.0,11.20389701,false,false,false,no_crisis
Algeria,1874,false,0.051308000000000006,false,false,0.0,-3.8485607010000003,false,false,false,no_crisis
Algeria,1875,false,0.051546,false,false,0.0,-20.92417833,false,false,false,no_crisis
Algeria,1876,false,0.051866999999999996,false,false,0.0,-1.769547325,false,false,false,no_crisis
Algeria,1877,false,0.051866999999999996,false,false,0.0,29.11604525,false,true,false,no_crisis
Algeria,1878,false,0.051948,false,false,0.0,-1.4925373130000001,false,false,false,no_crisis
Algeria,1879,false,0.052029,false,false,0.0,-16.83135705,false,false,false,no_crisis
Algeria,1880,false,0.05235599999999999,false,false,0.0,3.881188119,false,false,false,no_crisis
Algeria,1881,false,0.052029,false,false,0.0,12.61913839,false,false,false,no_crisis
Algeria,1882,false,0.050761,false,false,0.0,-12.35612729,false,false,false,no_crisis
Algeria,1883,false,0.052002,false,false,0.0,-1.390498262,false,false,false,no_crisis
Algeria,1884,false,0.052164999999999996,false,false,0.0,-15.94202899,false,false,false,no_crisis
Algeria,1939,false,0.44903000000000004,false,false,0.0,9.756097561,false,false,false,no_crisis
Algeria,1940,false,0.49188999999999994,false,false,0.0,22.22222222,false,true,false,no_crisis
Algeria,1941,false,0.44937,false,false,0.0,16.36363636,false,false,false,no_crisis
Algeria,1942,false,0.75,false,false,0.0,28.125,false,true,false,no_crisis
Algeria,1943,false,0.5,false,false,0.0,46.34146341,false,true,false,crisis
Algeria,1944,false,0.5,false,false,0.0,41.66666667,false,true,false,crisis
Algeria,1945,false,1.1909999999999998,false,false,0.0,29.41176471,false,true,false,no_crisis
Algeria,1946,false,1.1909999999999998,false,false,0.0,18.18181818,false,false,false,no_crisis
Algeria,1947,false,1.193,false,false,0.0,69.23076923,false,true,false,no_crisis
Algeria,1948,false,2.662,false,false,0.0,63.63636364,false,true,false,no_crisis
Algeria,1949,false,3.49,false,false,0.0,23.61111111,false,true,false,no_crisis
Algeria,1950,false,3.4989999999999997,false,false,0.0,0.0,false,false,false,no_crisis
Algeria,1951,false,3.5,false,false,0.0,6.741573034,false,false,false,no_crisis
Algeria,1952,false,3.5,false,false,0.0,6.315789474,false,false,false,no_crisis
Algeria,1953,false,3.5,false,false,0.0,-0.99009901,false,false,false,no_crisis
Algeria,1954,false,3.5,false,false,0.0,1.0,false,false,false,no_crisis
Algeria,1955,false,3.5,false,false,0.0,0.0,false,false,false,no_crisis
Algeria,1956,false,3.5,false,false,0.0,1.98019802,false,false,false,no_crisis
Algeria,1957,false,4.199,false,false,0.0,2.9126213589999996,false,false,false,no_crisis
Algeria,1958,false,4.906000000000001,false,false,0.0,12.26415094,false,false,false,no_crisis
Algeria,1959,false,4.909,false,false,0.0,9.243697479,false,false,false,no_crisis
Algeria,1960,false,4.93706,false,false,0.0,5.384615385,false,false,false,crisis
Algeria,1961,false,4.93706,false,false,0.0,2.9197080289999997,false,false,false,no_crisis
Algeria,1968,false,4.93706,false,false,0.0,6.599987838,true,false,false,no_crisis
Algeria,1969,false,4.93706,false,false,0.0,2.626631862,true,false,false,no_crisis
